RFT_1,RFT_2,RFT_3,RFT_4,RFT_5,RFT_6,data_1,data_2,data_3,data_4
-0.16,-0.08,0.88,0,0.015,-0.0035,0.225,0.9,0.325,-0.025
-0.16,-0.08,0.88,0,0.015,-0.0035,0.225,0.9,1.325,-0.025
-0.16,-0.08,0.88,0,0.015,-0.0035,-0.775,-0.1,0.325,0.975
-0.24,0.64,0.06,0.0095,0.013,-0.005,-0.775,-1.1,-0.675,-0.025
-0.24,0.64,0.06,0.0095,0.013,-0.005,-0.775,-0.1,-0.675,0.975
-0.22,0.4,0.4,0.0125,0.009,0.005,1.225,0.9,0.325,-0.025
-0.22,0.4,0.4,0.0125,0.009,0.005,0.225,0.9,0.325,-1.025
-0.22,0.4,0.4,0.0125,0.009,0.005,0.225,-0.1,-0.675,-0.025
0.12,0.1,-0.84,-0.001,-0.0195,-0.008,0.225,-0.1,1.325,0.975
0.12,0.1,-0.84,-0.001,-0.0195,-0.008,-0.775,-0.1,-0.675,-0.025
0.12,0.1,-0.84,-0.001,-0.0195,-0.008,1.225,-0.1,0.325,-1.025
0.16,0.16,-0.44,-0.0025,-0.008,-0.013,-0.775,-0.1,-0.675,0.975
0.16,0.16,-0.44,-0.0025,-0.008,-0.013,-0.775,-0.1,0.325,-0.025
0,0.02,-0.38,-0.012,-0.0185,0.0005,1.225,-0.1,-0.675,1.975
0,0.02,-0.38,-0.012,-0.0185,0.0005,0.225,0.9,1.325,0.975
0,0.02,-0.38,-0.012,-0.0185,0.0005,-0.775,-0.1,0.325,-0.025
0.2,0.1,0.14,-0.0085,0.001,-0.0065,1.225,-1.1,-0.675,-0.025
0.2,0.1,0.14,-0.0085,0.001,-0.0065,1.225,1.9,-0.675,-0.025
0.2,0.1,0.14,-0.0085,0.001,-0.0065,0.225,0.9,2.325,0.975
0.4,0.22,0.02,-0.0175,-0.0055,-0.003,1.225,0.9,-0.675,-0.025
0.4,0.22,0.02,-0.0175,-0.0055,-0.003,0.225,0.9,0.325,-1.025
-0.02,0.22,0.16,0,0.005,-0.009,-0.775,-0.1,0.325,0.975
-0.02,0.22,0.16,0,0.005,-0.009,-0.775,-1.1,0.325,-0.025
-0.02,0.22,0.16,0,0.005,-0.009,1.225,1.9,-0.675,0.975
-0.12,-0.06,0.36,-0.008,-0.0025,0.018,0.225,0.9,0.325,-0.025
-0.12,-0.06,0.36,-0.008,-0.0025,0.018,-0.775,-1.1,0.325,-0.025
0.02,-0.14,-0.64,-0.007,0,0.0065,1.225,0.9,-0.675,0.975
0.02,-0.14,-0.64,-0.007,0,0.0065,-1.775,-0.1,-0.675,-0.025
0.02,-0.14,-0.64,-0.007,0,0.0065,0.225,-0.1,-0.675,-0.025
0.14,0.36,-0.42,-0.01,0.001,-0.0095,1.225,-0.1,-0.675,0.975
0.14,0.36,-0.42,-0.01,0.001,-0.0095,-0.775,-0.1,-0.675,-0.025
0.14,0.36,-0.42,-0.01,0.001,-0.0095,-0.775,-1.1,0.325,-0.025
0.18,0.28,0.32,0.004,-0.0145,-0.006,2.225,1.9,-0.675,1.975
0.18,0.28,0.32,0.004,-0.0145,-0.006,0.225,-0.1,-0.675,-0.025
0.18,-0.54,-0.02,-0.0105,-0.0175,0.0015,-0.775,0.9,-1.675,-0.025
0.18,-0.54,-0.02,-0.0105,-0.0175,0.0015,-0.775,-1.1,-0.675,-0.025
0.18,-0.54,-0.02,-0.0105,-0.0175,0.0015,0.225,1.9,-0.675,0.975
-0.16,0.12,-0.26,0.0235,0.011,0.0075,0.225,0.9,0.325,-1.025
-0.16,0.12,-0.26,0.0235,0.011,0.0075,-1.775,0.9,0.325,-0.025
-0.04,0.1,-0.46,-0.0155,0.017,-0.005,1.225,-0.1,-1.675,-1.025
-0.04,0.1,-0.46,-0.0155,0.017,-0.005,-0.775,-0.1,0.325,-0.025
-0.04,0.1,-0.46,-0.0155,0.017,-0.005,1.225,0.9,0.325,0.975
-0.32,0.58,1.04,0.012,0.005,-0.0095,0.225,0.9,0.325,0.975
-0.32,0.58,1.04,0.012,0.005,-0.0095,0.225,0.9,0.325,-0.025
-0.32,0.58,1.04,0.012,0.005,-0.0095,1.225,0.9,0.325,0.975
0.26,-0.78,-0.7,-0.0245,-0.0175,0.002,0.225,-1.1,1.325,1.975
0.26,-0.78,-0.7,-0.0245,-0.0175,0.002,0.225,0.9,0.325,-0.025
0.08,-0.2,-0.14,-0.002,0.01,0.005,-0.775,-0.1,-0.675,-0.025
0.08,-0.2,-0.14,-0.002,0.01,0.005,0.225,-2.1,-0.675,0.975
0.08,-0.2,-0.14,-0.002,0.01,0.005,0.225,-0.1,0.325,-1.025
0.08,0,-0.3,-0.0055,0,0.0055,-0.775,0.9,0.325,-0.025
0.08,0,-0.3,-0.0055,0,0.0055,1.225,-0.1,0.325,-1.025
0,0.22,-0.8,-0.002,-0.007,0.0005,0.225,-0.1,0.325,0.975
0,0.22,-0.8,-0.002,-0.007,0.0005,0.225,-0.1,-0.675,0.975
0,0.22,-0.8,-0.002,-0.007,0.0005,-0.775,0.9,0.325,-1.025
-0.06,0.14,-0.9,-0.005,-0.031,-0.0145,0.225,-0.1,-0.675,-0.025
-0.06,0.14,-0.9,-0.005,-0.031,-0.0145,1.225,-0.1,-0.675,0.975
-0.06,0.14,-0.9,-0.005,-0.031,-0.0145,0.225,0.9,0.325,-0.025
-0.18,-0.06,-0.56,-0.0125,-0.0035,-0.0105,1.225,-0.1,-1.675,0.975
-0.18,-0.06,-0.56,-0.0125,-0.0035,-0.0105,-0.775,-0.1,-0.675,0.975
0.02,0.38,0.14,0.0055,0.0005,-0.0035,-1.775,-0.1,-0.675,0.975
0.02,0.38,0.14,0.0055,0.0005,-0.0035,-0.775,-0.1,0.325,-0.025
0.02,0.38,0.14,0.0055,0.0005,-0.0035,0.225,0.9,-0.675,-1.025
-0.36,0.7,-0.02,0.0165,0.0195,-0.0055,0.225,0.9,-0.675,-0.025
-0.36,0.7,-0.02,0.0165,0.0195,-0.0055,0.225,-0.1,-0.675,-0.025
-0.36,0.7,-0.02,0.0165,0.0195,-0.0055,-0.775,0.9,0.325,-0.025
-0.18,0.62,-0.28,0.008,-0.016,-0.012,-0.775,-1.1,0.325,-0.025
-0.18,0.62,-0.28,0.008,-0.016,-0.012,0.225,0.9,0.325,-0.025
-0.08,0.56,-0.52,0.0025,0.004,0.0005,1.225,0.9,0.325,-1.025
-0.08,0.56,-0.52,0.0025,0.004,0.0005,1.225,-0.1,0.325,-0.025
-0.08,0.56,-0.52,0.0025,0.004,0.0005,0.225,0.9,-0.675,0.975
0.2,0.22,-1.12,0.004,-0.0075,0.005,0.225,0.9,0.325,-1.025
0.2,0.22,-1.12,0.004,-0.0075,0.005,-0.775,0.9,-0.675,-0.025
0.28,0.06,-0.24,-0.002,-0.0155,0.004,1.225,-0.1,-0.675,0.975
0.28,0.06,-0.24,-0.002,-0.0155,0.004,-0.775,0.9,0.325,0.975
0.28,0.06,-0.24,-0.002,-0.0155,0.004,0.225,0.9,0.325,-1.025
0.02,0.52,0.4,-0.0065,-0.0205,0.002,-0.775,-0.1,-0.675,-0.025
0.02,0.52,0.4,-0.0065,-0.0205,0.002,0.225,-0.1,0.325,0.975
0.02,0.52,0.4,-0.0065,-0.0205,0.002,0.225,0.9,1.325,0.975
-0.06,0.16,0.04,0.01,0.007,-0.0085,-0.775,0.9,1.325,0.975
-0.06,0.16,0.04,0.01,0.007,-0.0085,0.225,-0.1,-0.675,0.975
-0.02,0.22,0.52,0.014,0.0105,0.002,0.225,-0.1,-0.675,-0.025
-0.02,0.22,0.52,0.014,0.0105,0.002,0.225,0.9,-0.675,-0.025
-0.02,0.22,0.52,0.014,0.0105,0.002,0.225,-0.1,-0.675,-0.025
-0.06,-0.44,-1.24,-0.028,-0.004,0.0005,-0.775,-0.1,0.325,-0.025
-0.06,-0.44,-1.24,-0.028,-0.004,0.0005,0.225,0.9,0.325,0.975
0.2,-0.34,-0.42,0,-0.006,0.002,0.225,0.9,1.325,0.975
0.2,-0.34,-0.42,0,-0.006,0.002,-0.775,-2.1,-0.675,0.975
0.2,-0.34,-0.42,0,-0.006,0.002,0.225,-0.1,1.325,-0.025
-0.2,0.02,0.66,0.0035,0.0175,0,0.225,0.9,-0.675,0.975
-0.2,0.02,0.66,0.0035,0.0175,0,1.225,-1.1,0.325,-0.025
-0.2,0.02,0.66,0.0035,0.0175,0,1.225,0.9,-0.675,1.975
0.28,-0.48,0.42,-0.009,-0.021,-0.007,-0.775,-0.1,-1.675,0.975
0.28,-0.48,0.42,-0.009,-0.021,-0.007,0.225,-0.1,0.325,-0.025
-0.2,0.1,0.46,0.0025,0.0245,-0.002,-0.775,0.9,0.325,0.975
-0.2,0.1,0.46,0.0025,0.0245,-0.002,0.225,0.9,-0.675,0.975
-0.2,0.1,0.46,0.0025,0.0245,-0.002,0.225,0.9,0.325,-1.025
-0.02,0.64,-0.46,0.013,-0.008,-0.008,0.225,-0.1,0.325,-0.025
-0.02,0.64,-0.46,0.013,-0.008,-0.008,0.225,-0.1,0.325,-1.025
-0.08,0.32,0.12,-0.0015,-0.0005,-0.004,1.225,0.9,-0.675,-0.025
-0.08,0.32,0.12,-0.0015,-0.0005,-0.004,0.225,0.9,0.325,-1.025
-0.08,0.32,0.12,-0.0015,-0.0005,-0.004,0.225,1.9,-0.675,-0.025
0.1,-0.64,-0.8,-0.0125,-0.015,0.0155,0.225,1.9,-0.675,0.975
0.1,-0.64,-0.8,-0.0125,-0.015,0.0155,0.225,0.9,1.325,0.975
0.1,-0.64,-0.8,-0.0125,-0.015,0.0155,0.225,0.9,1.325,0.975
0.1,0.16,0.14,0.008,-0.0045,0.0085,0.225,0.9,0.325,0.975
0.1,0.16,0.14,0.008,-0.0045,0.0085,0.225,0.9,0.325,-0.025
0.16,-1.38,-0.02,-0.012,0.0055,0.018,-0.775,-0.1,-0.675,-0.025
0.16,-1.38,-0.02,-0.012,0.0055,0.018,0.225,0.9,-0.675,0.975
0.16,-1.38,-0.02,-0.012,0.0055,0.018,1.225,-0.1,-0.675,1.975
-0.22,-1.04,0.2,-0.0035,-0.012,0.0045,0.225,-0.1,0.325,-0.025
-0.22,-1.04,0.2,-0.0035,-0.012,0.0045,0.225,0.9,1.325,-0.025
-0.22,-1.04,0.2,-0.0035,-0.012,0.0045,0.225,1.9,-1.675,0.975
0.3,-0.06,-0.8,-0.007,-0.0165,0.0015,0.225,0.9,1.325,-0.025
0.3,-0.06,-0.8,-0.007,-0.0165,0.0015,0.225,0.9,0.325,-1.025
0.14,0.08,0.1,-0.0175,-0.007,-0.014,0.225,-0.1,-0.675,-0.025
0.14,0.08,0.1,-0.0175,-0.007,-0.014,0.225,0.9,-0.675,-0.025
0.14,0.08,0.1,-0.0175,-0.007,-0.014,0.225,-0.1,0.325,0.975
0.04,-0.8,-0.16,-0.0065,-0.0285,0.0235,-0.775,0.9,-0.675,-0.025
0.04,-0.8,-0.16,-0.0065,-0.0285,0.0235,1.225,-0.1,-0.675,-0.025
0.08,-0.42,0.12,-0.0035,-0.0065,-0.0015,0.225,1.9,1.325,-0.025
0.08,-0.42,0.12,-0.0035,-0.0065,-0.0015,0.225,1.9,0.325,-0.025
0.08,-0.42,0.12,-0.0035,-0.0065,-0.0015,0.225,0.9,0.325,-0.025
-0.34,0.22,0.22,0.017,-0.002,-0.007,-1.775,0.9,0.325,-0.025
-0.34,0.22,0.22,0.017,-0.002,-0.007,1.225,-0.1,0.325,-0.025
-0.34,0.22,0.22,0.017,-0.002,-0.007,-0.775,-0.1,-1.675,1.975
-0.12,0.54,0.26,0.0235,0.0305,-0.0155,0.225,0.9,-1.675,-0.025
-0.12,0.54,0.26,0.0235,0.0305,-0.0155,0.225,1.9,-2.675,0.975
-0.12,-0.22,-1.36,-0.022,-0.0045,-0.0015,0.225,1.9,-1.675,-1.025
-0.12,-0.22,-1.36,-0.022,-0.0045,-0.0015,0.225,1.9,-1.675,-2.025
-0.12,-0.22,-1.36,-0.022,-0.0045,-0.0015,0.225,1.9,-2.675,-1.025
-0.22,-0.64,-0.36,-0.0095,0.013,0.0055,-0.775,0.9,-2.675,-1.025
-0.22,-0.64,-0.36,-0.0095,0.013,0.0055,1.225,1.9,-3.675,-1.025
-0.58,0.24,-1.2,-0.0045,0.011,0.0005,1.225,0.9,-3.675,-0.025
-0.58,0.24,-1.2,-0.0045,0.011,0.0005,2.225,0.9,-2.675,-0.025
-0.58,0.24,-1.2,-0.0045,0.011,0.0005,1.225,-0.1,-3.675,-1.025
0.22,0.2,-0.18,-0.0075,0,-0.0175,0.225,1.9,-3.675,-0.025
0.22,0.2,-0.18,-0.0075,0,-0.0175,1.225,0.9,-2.675,0.975
0.22,0.2,-0.18,-0.0075,0,-0.0175,2.225,-0.1,-2.675,0.975
0,0.32,0.46,0.016,0.0205,-0.006,1.225,-1.1,-2.675,-0.025
0,0.32,0.46,0.016,0.0205,-0.006,2.225,1.9,-2.675,0.975
-0.22,-0.06,0.78,0.006,0.021,-0.0105,1.225,0.9,-3.675,-1.025
-0.22,-0.06,0.78,0.006,0.021,-0.0105,0.225,0.9,-2.675,0.975
-0.22,-0.06,0.78,0.006,0.021,-0.0105,0.225,0.9,-4.675,-0.025
-0.2,0.28,0.94,0.0075,0.0285,0.0075,1.225,-0.1,-3.675,-1.025
-0.2,0.28,0.94,0.0075,0.0285,0.0075,0.225,0.9,-2.675,-0.025
0.16,-0.1,-0.42,0.003,0.022,-0.0085,1.225,-1.1,-2.675,-0.025
0.16,-0.1,-0.42,0.003,0.022,-0.0085,0.225,-0.1,-2.675,-0.025
0.16,-0.1,-0.42,0.003,0.022,-0.0085,0.225,0.9,-2.675,0.975
-0.22,-0.12,-1.3,-0.016,0.0095,-0.0005,0.225,-0.1,-3.675,-0.025
-0.22,-0.12,-1.3,-0.016,0.0095,-0.0005,0.225,-1.1,-1.675,-1.025
-0.22,-0.12,-1.3,-0.016,0.0095,-0.0005,-0.775,-0.1,-2.675,-0.025
0.28,-0.14,-0.42,0.0125,-0.009,0.007,0.225,0.9,-1.675,-0.025
0.28,-0.14,-0.42,0.0125,-0.009,0.007,-0.775,-1.1,-1.675,0.975
-0.02,0.08,-1.48,-0.027,-0.004,-0.008,0.225,0.9,-1.675,-0.025
-0.02,0.08,-1.48,-0.027,-0.004,-0.008,0.225,-1.1,-2.675,-0.025
-0.02,0.08,-1.48,-0.027,-0.004,-0.008,1.225,-1.1,-3.675,-0.025
0.48,0.26,-0.64,0.0005,-0.008,0.0065,1.225,-1.1,-2.675,0.975
0.48,0.26,-0.64,0.0005,-0.008,0.0065,0.225,-1.1,-3.675,-0.025
0.48,0.26,-0.64,0.0005,-0.008,0.0065,2.225,-0.1,-2.675,0.975
-0.32,0.04,-0.32,-0.0175,0.0275,-0.0085,1.225,-1.1,-2.675,-0.025
-0.32,0.04,-0.32,-0.0175,0.0275,-0.0085,1.225,-1.1,-0.675,0.975
0.14,0.42,-1.02,-0.0215,0.0195,-0.01,0.225,-1.1,-2.675,-0.025
0.14,0.42,-1.02,-0.0215,0.0195,-0.01,1.225,-2.1,-3.675,-1.025
0.14,0.42,-1.02,-0.0215,0.0195,-0.01,1.225,0.9,-4.675,0.975
0.18,-0.14,-0.6,0.0135,0.005,0,1.225,0.9,-4.675,-1.025
0.18,-0.14,-0.6,0.0135,0.005,0,2.225,-0.1,-4.675,0.975
0.02,-0.28,-0.48,0.004,0.012,0.001,2.225,-0.1,-6.675,0.975
0.02,-0.28,-0.48,0.004,0.012,0.001,0.225,0.9,-7.675,-0.025
0.02,-0.28,-0.48,0.004,0.012,0.001,3.225,-0.1,-7.675,1.975
0.28,-0.06,-0.72,0.0005,0.031,0.0035,3.225,-0.1,-7.675,0.975
0.28,-0.06,-0.72,0.0005,0.031,0.0035,3.225,-0.1,-7.675,-0.025
0.28,-0.06,-0.72,0.0005,0.031,0.0035,3.225,-0.1,-6.675,0.975
0.22,-0.22,-0.18,-0.007,-0.004,-0.003,2.225,0.9,-8.675,-0.025
0.22,-0.22,-0.18,-0.007,-0.004,-0.003,2.225,0.9,-6.675,-0.025
-0.2,0.82,-0.8,-0.002,0.02,0.0005,3.225,-0.1,-8.675,-0.025
-0.2,0.82,-0.8,-0.002,0.02,0.0005,2.225,0.9,-9.675,-0.025
-0.2,0.82,-0.8,-0.002,0.02,0.0005,4.225,1.9,-10.675,-1.025
0.2,-0.48,-0.58,0.0125,0.0115,0.0015,2.225,0.9,-9.675,-0.025
0.2,-0.48,-0.58,0.0125,0.0115,0.0015,4.225,0.9,-10.675,-0.025
0.48,0.46,-1.02,0.0145,0.0375,-0.004,4.225,1.9,-11.675,-1.025
0.48,0.46,-1.02,0.0145,0.0375,-0.004,3.225,1.9,-11.675,-0.025
0.48,0.46,-1.02,0.0145,0.0375,-0.004,5.225,1.9,-12.675,0.975
0.46,0.44,-1.54,0.007,-0.0005,-0.008,4.225,0.9,-12.675,-1.025
0.46,0.44,-1.54,0.007,-0.0005,-0.008,5.225,0.9,-13.675,-0.025
0.46,0.44,-1.54,0.007,-0.0005,-0.008,5.225,0.9,-14.675,-0.025
0.16,-0.44,-1.2,-0.0185,0.0025,-0.0025,5.225,1.9,-16.675,0.975
0.16,-0.44,-1.2,-0.0185,0.0025,-0.0025,6.225,2.9,-16.675,0.975
0.5,0.3,-1.7,0.002,0.0165,-0.014,6.225,2.9,-17.675,-0.025
0.5,0.3,-1.7,0.002,0.0165,-0.014,6.225,2.9,-17.675,-0.025
0.5,0.3,-1.7,0.002,0.0165,-0.014,6.225,3.9,-18.675,-0.025
1.08,-0.32,-1.04,-0.0135,0.0255,-0.002,8.225,0.9,-18.675,1.975
1.08,-0.32,-1.04,-0.0135,0.0255,-0.002,8.225,2.9,-21.675,0.975
0.42,0,-1.58,0.007,0.016,-0.0075,8.225,2.9,-22.675,-0.025
0.42,0,-1.58,0.007,0.016,-0.0075,8.225,2.9,-23.675,0.975
0.42,0,-1.58,0.007,0.016,-0.0075,9.225,3.9,-25.675,1.975
0.56,0.2,-2.68,0.01,0.0225,0.002,11.225,1.9,-28.675,0.975
0.56,0.2,-2.68,0.01,0.0225,0.002,11.225,2.9,-30.675,1.975
0.56,0.2,-2.68,0.01,0.0225,0.002,11.225,2.9,-32.675,-0.025
0.66,0.58,-2.06,0.0035,0.0355,-0.0095,13.225,3.9,-34.675,1.975
0.66,0.58,-2.06,0.0035,0.0355,-0.0095,14.225,2.9,-37.675,0.975
1.22,-0.04,-2.7,0.006,0.038,-0.0035,15.225,4.9,-40.675,0.975
1.22,-0.04,-2.7,0.006,0.038,-0.0035,17.225,5.9,-42.675,0.975
1.22,-0.04,-2.7,0.006,0.038,-0.0035,17.225,5.9,-46.675,0.975
1.28,0.2,-2.08,0.015,0.0445,-0.002,18.225,6.9,-49.675,0.975
1.28,0.2,-2.08,0.015,0.0445,-0.002,21.225,5.9,-54.675,-0.025
1.6,-0.56,-2.5,-0.0045,0.0465,0.0135,22.225,6.9,-57.675,0.975
1.6,-0.56,-2.5,-0.0045,0.0465,0.0135,24.225,7.9,-61.675,1.975
1.6,-0.56,-2.5,-0.0045,0.0465,0.0135,26.225,6.9,-65.675,1.975
1.9,0.18,-3.52,-0.0145,0.0485,-0.009,28.225,8.9,-68.675,2.975
1.9,0.18,-3.52,-0.0145,0.0485,-0.009,31.225,9.9,-72.675,2.975
1.9,0.18,-3.52,-0.0145,0.0485,-0.009,30.225,8.9,-74.675,1.975
1.66,-0.54,-3.84,-0.0125,0.079,0.016,34.225,9.9,-80.675,1.975
1.66,-0.54,-3.84,-0.0125,0.079,0.016,35.225,10.9,-82.675,1.975
2.14,-0.38,-4.02,-0.001,0.0585,0.006,38.225,9.9,-85.675,1.975
2.14,-0.38,-4.02,-0.001,0.0585,0.006,36.225,9.9,-88.675,2.975
2.14,-0.38,-4.02,-0.001,0.0585,0.006,41.225,10.9,-91.675,2.975
2.62,0.24,-3.92,0,0.077,-0.0125,41.225,9.9,-93.675,2.975
2.62,0.24,-3.92,0,0.077,-0.0125,41.225,12.9,-97.675,2.975
2.62,0.24,-3.92,0,0.077,-0.0125,45.225,11.9,-101.675,2.975
2.6,0.88,-4.12,0.0105,0.086,-0.0055,47.225,12.9,-105.675,2.975
2.6,0.88,-4.12,0.0105,0.086,-0.0055,50.225,12.9,-108.675,1.975
3.3,0,-4.36,-0.011,0.071,-0.008,52.225,12.9,-113.675,2.975
3.3,0,-4.36,-0.011,0.071,-0.008,54.225,14.9,-116.675,3.975
3.3,0,-4.36,-0.011,0.071,-0.008,56.225,14.9,-121.675,2.975
3.64,-0.26,-3.9,0,0.112,0.0095,58.225,16.9,-126.675,3.975
3.64,-0.26,-3.9,0,0.112,0.0095,63.225,15.9,-131.675,2.975
3.54,-0.92,-5.66,-0.002,0.104,-0.001,63.225,15.9,-133.675,3.975
3.54,-0.92,-5.66,-0.002,0.104,-0.001,67.225,14.9,-135.675,2.975
3.54,-0.92,-5.66,-0.002,0.104,-0.001,68.225,14.9,-140.675,4.975
3.94,-0.1,-5.76,-0.0145,0.104,-0.0125,70.225,17.9,-143.675,2.975
3.94,-0.1,-5.76,-0.0145,0.104,-0.0125,71.225,16.9,-145.675,3.975
3.94,-0.1,-5.76,-0.0145,0.104,-0.0125,73.225,16.9,-146.675,3.975
4.16,-0.2,-5.7,-0.0295,0.1155,-0.0085,76.225,16.9,-149.675,3.975
4.16,-0.2,-5.7,-0.0295,0.1155,-0.0085,76.225,17.9,-151.675,3.975
4.26,0.02,-5.76,-0.007,0.1245,0,77.225,16.9,-153.675,4.975
4.26,0.02,-5.76,-0.007,0.1245,0,78.225,19.9,-157.675,4.975
4.26,0.02,-5.76,-0.007,0.1245,0,82.225,19.9,-160.675,4.975
4.92,-0.7,-7.1,-0.015,0.115,0.013,84.225,19.9,-164.675,3.975
4.92,-0.7,-7.1,-0.015,0.115,0.013,87.225,19.9,-168.675,1.975
5.02,-0.2,-6.44,-0.006,0.1115,-0.013,89.225,21.9,-172.675,2.975
5.02,-0.2,-6.44,-0.006,0.1115,-0.013,91.225,22.9,-175.675,2.975
5.02,-0.2,-6.44,-0.006,0.1115,-0.013,94.225,22.9,-177.675,2.975
5.2,-0.02,-5.9,0.01,0.13,-0.013,96.225,23.9,-180.675,2.975
5.2,-0.02,-5.9,0.01,0.13,-0.013,98.225,23.9,-184.675,2.975
5.2,-0.02,-5.9,0.01,0.13,-0.013,99.225,23.9,-187.675,1.975
5.52,-0.46,-6.94,-0.007,0.168,-0.0125,103.225,24.9,-189.675,0.975
5.52,-0.46,-6.94,-0.007,0.168,-0.0125,103.225,24.9,-192.675,0.975
5.8,-0.2,-7.02,-0.005,0.1485,-0.0105,104.225,25.9,-193.675,1.975
5.8,-0.2,-7.02,-0.005,0.1485,-0.0105,106.225,25.9,-195.675,0.975
5.8,-0.2,-7.02,-0.005,0.1485,-0.0105,107.225,26.9,-195.675,0.975
5.74,-0.34,-6.18,0.004,0.156,-0.0055,108.225,26.9,-197.675,-0.025
5.74,-0.34,-6.18,0.004,0.156,-0.0055,108.225,27.9,-198.675,-0.025
5.4,-0.24,-6.84,-0.022,0.145,-0.013,109.225,26.9,-197.675,-0.025
5.4,-0.24,-6.84,-0.022,0.145,-0.013,109.225,26.9,-196.675,0.975
5.4,-0.24,-6.84,-0.022,0.145,-0.013,110.225,27.9,-198.675,0.975
5.78,-0.58,-6.72,0.007,0.1635,-0.0105,110.225,29.9,-200.675,-0.025
5.78,-0.58,-6.72,0.007,0.1635,-0.0105,112.225,28.9,-200.675,0.975
5.78,-0.58,-6.72,0.007,0.1635,-0.0105,112.225,28.9,-202.675,-1.025
5.76,-0.18,-7.06,-0.007,0.142,-0.014,112.225,31.9,-203.675,-0.025
5.76,-0.18,-7.06,-0.007,0.142,-0.014,114.225,29.9,-203.675,-2.025
6.02,0.02,-6.94,-0.01,0.162,-0.012,114.225,30.9,-204.675,-1.025
6.02,0.02,-6.94,-0.01,0.162,-0.012,115.225,29.9,-205.675,-1.025
6.02,0.02,-6.94,-0.01,0.162,-0.012,115.225,30.9,-205.675,-1.025
6.06,-0.24,-7.04,-0.0015,0.1625,-0.015,114.225,30.9,-205.675,-2.025
6.06,-0.24,-7.04,-0.0015,0.1625,-0.015,115.225,30.9,-205.675,-2.025
6.06,-0.24,-7.04,-0.0015,0.1625,-0.015,115.225,30.9,-206.675,-1.025
6.02,0.32,-6.38,0.008,0.1605,-0.021,114.225,31.9,-205.675,-3.025
