RFT_1,RFT_2,RFT_3,RFT_4,RFT_5,RFT_6,data_1,data_2,data_3,data_4
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.225,1.9,0.325,-1.025
0.38,-0.16,-0.52,-0.02,-0.032,-0.004,0.225,0.9,-0.675,-0.025
-0.14,0.32,1.3,0.015,0.031,-0.0035,0.225,1.9,-0.675,-0.025
-0.14,0.32,1.3,0.015,0.031,-0.0035,1.225,0.9,0.325,0.975
0,0.82,0.88,0.0075,0.0135,-0.005,0.225,-0.1,-0.675,-0.025
0,0.82,0.88,0.0075,0.0135,-0.005,0.225,-0.1,0.325,0.975
0,0.82,0.88,0.0075,0.0135,-0.005,-0.775,-0.1,-0.675,1.975
0.12,0.6,0.3,0.013,0.0095,-0.0025,0.225,-0.1,-0.675,0.975
0.12,0.6,0.3,0.013,0.0095,-0.0025,0.225,0.9,0.325,-0.025
0.12,0.6,0.3,0.013,0.0095,-0.0025,1.225,-0.1,-0.675,-0.025
0,0.02,0.36,0.018,-0.0015,-0.005,0.225,1.9,0.325,-1.025
0,0.02,0.36,0.018,-0.0015,-0.005,0.225,0.9,0.325,-0.025
0.14,0.28,-0.46,-0.002,0.013,0.005,0.225,-0.1,0.325,-0.025
0.14,0.28,-0.46,-0.002,0.013,0.005,1.225,-0.1,-0.675,-1.025
0.14,0.28,-0.46,-0.002,0.013,0.005,-1.775,-0.1,1.325,0.975
-0.06,-0.4,0.14,0.0015,-0.031,0.011,-0.775,-0.1,0.325,-0.025
-0.06,-0.4,0.14,0.0015,-0.031,0.011,0.225,-0.1,-0.675,0.975
-0.28,0.2,1.06,0.029,0.0325,-0.0115,0.225,0.9,0.325,-0.025
-0.28,0.2,1.06,0.029,0.0325,-0.0115,0.225,0.9,0.325,-1.025
-0.28,0.2,1.06,0.029,0.0325,-0.0115,0.225,-1.1,0.325,-0.025
-0.22,-0.06,0.66,0.013,-0.012,0.013,0.225,0.9,0.325,0.975
-0.22,-0.06,0.66,0.013,-0.012,0.013,0.225,0.9,1.325,-0.025
-0.22,-0.06,0.66,0.013,-0.012,0.013,1.225,-0.1,0.325,-1.025
-0.2,0.3,0.92,0.0195,0.0265,0.0005,0.225,-0.1,0.325,-0.025
-0.2,0.3,0.92,0.0195,0.0265,0.0005,-0.775,-0.1,-0.675,-1.025
